,Unnamed: 0,date,title,cleaned title
175,175,2021-12-01,21 Kabupaten/Kota Alami Kenaikan Kasus Covid-19 Sepekan Terakhir,kabupatenkota alami naik kasus covid pek akhir
176,176,2021-12-01,Metrodata Gandeng Amazon Web Services Sediakan Layanan Transformasi dengan Cloud,metrodata gandeng amazon web services sedia layan transformasi dengan cloud
177,177,2021-12-01,"Indonesia-Seychelles Bahas Kerja Sama Ekonomi Biru, Menteri KP Berikan Apresiasi",indonesiaseychelles bahas kerja sama ekonomi biru menteri kp ikan apresiasi
178,178,2021-12-01,Gibran Larang ASN Solo Mudik dan Bepergian Saat Libur Natal dan Tahun Baru,gibran larang asn solo mudik dan pergi saat libur natal dan tahun baru
179,179,2021-12-01,"Sudah Digencarkan Sejak 2010, Pariwisata Halal di NTB Masih Digodok",sudah gencar sejak pariwisata halal di ntb masih godok
180,180,2021-12-01,5 Penyebab Kucing Berhenti Menyantap Makanan Kering,sebab kucing henti santap makan kering
181,181,2021-12-01,"Lahan Belum Dibayar, Warga Pagari Kawasan Sirkuit Mandalika dengan Pohon Pisang",lahan belum bayar warga pagar kawasan sirkuit mandalika dengan pohon pisang
182,182,2021-12-01,"Reuni 212 Diancam Pidana, Panitia: Seharusnya Polisi Mengamankan, Bukan Menakut-nakuti!",reuni ancam pidana panitia harus polisi aman bukan menakutnakuti
183,183,2021-12-01,Jokowi Kumpulkan Menteri di Istana Bahas Corona Omicron,jokowi kumpul menteri di istana bahas corona omicron
184,184,2021-12-01,"Jadi Tahanan Kejaksaan, Musisi Jerinx Pertimbangan Ajukan Penangguhan Penahanan",jadi tahan jaksa musisi jerinx timbang aju tangguh tahan
185,185,2021-12-01,"Waspada Varian Omicron, Dokter RS UNS Imbau Pemerintah Lakukan Hal Ini",waspada varian omicron dokter rs uns imbau perintah laku hal ini
186,186,2021-12-01,"Naik Motor Bebek Sampai ke Paris, Video Perjalanan Pasangan Malaysia Ini Jadi Viral",naik motor bebek sampai ke paris video jalan pasang malaysia ini jadi viral
187,187,2021-12-01,ODGJ di Blitar Mengamuk: Minggir! Biar Aku Bakar Rumah Teroris Ini,odgj di blitar amuk minggir biar aku bakar rumah teroris ini
188,188,2021-12-01,"Berkat Sinergi dan Inovasi dalam Pemulihan Ekonomi, Gojek Raih Bank Indonesia Award 2021",berkat sinergi dan inovasi dalam pulih ekonomi gojek raih bank indonesia award
189,189,2021-12-01,"3 Fakta Unik Restoran All You Can Eat, dari Mana Asalnya?",fakta unik restoran all you can eat dari mana asal
190,190,2021-12-01,"Hasil Drawing Kejuaraan Dunia Badminton 2021, 6 Wakil Indonesia Dapat ""Bye""",hasil drawing juara dunia badminton wakil indonesia dapat bye
191,191,2021-12-01,"Cegah Predator Seksual di Game Online, Pimpinan Komisi X Usul Fitur Chat Dimatikan",cegah predator seksual di game online pimpin komisi x usul fitur chat mati
192,192,2021-12-01,"Hari AIDS Sedunia, Twitter Luncurkan Notifikasi Khusus HIV di Indonesia",hari aids dunia twitter luncur notifikasi khusus hiv di indonesia
193,193,2021-12-01,"PPKM Level 3 di Tangsel, Anak 12 Tahun ke Bawah Dilarang Masuk Mal dan Bioskop",ppkm level di tangsel anak tahun ke bawah larang masuk mal dan bioskop
194,194,2021-12-01,Lirik Lagu let you - iann dior,lirik lagu let you iann dior
195,195,2021-12-01,"Pemerintah Bakal Kembali Terbitkan SKB 4 Menteri, Perjelas Ketentuan soal PTM Terbatas",perintah bakal kembali terbit skb menteri jelas tentu soal ptm batas
196,196,2021-12-01,Densus 88 Sita Senapan M16 dan 124 Peluru dari Terduga Teroris di Sulsel,densus sita senapan m dan peluru dari duga teroris di sulsel
197,197,2021-12-01,"Foto Viral Pasutri Naik Motor hingga Menara Eiffel, Begini Ceritanya",foto viral pasutri naik motor hingga menara eiffel begini cerita
198,198,2021-12-01,Momen Indro Satukan Lagi Warkop DKI Setelah Kasino dan Dono Tak Bicara 3 Tahun,momen indro satu lagi warkop dki telah kasino dan dono tak bicara tahun
199,199,2021-12-01,Pil Covid Molnupiravir MSD Akhirnya Kantongi Izin FDA,pil covid molnupiravir msd akhir kantong izin fda
