,Unnamed: 0,date,title,cleaned title
39,39,2021-12-01,"Buruh Protes UMP 2022, Menteri Bahlil: Yang Penting Dapat Gaji",buruh protes ump menteri bahlil yang penting dapat gaji
40,40,2021-12-01,"Usai Dirundung Pandemi Covid-19, Liga Super China Kembali Bangkit",usai rundung pandemi covid liga super china kembali bangkit
41,41,2021-12-01,"Hasil Olah TKP Kasus Pelecehan Seksual Mahasiswi Unsri, Dosen Paksa Korban Pegang Kemaluannya",hasil olah tkp kasus leceh seksual mahasiswi unsri dosen paksa korban pegang malu
42,42,2021-12-01,"Minta Parlemen Didik Taliban agar Tidak Terlihat sebagai Teroris, Politisi Malaysia Tuai Hujatan",minta parlemen didik talib agar tidak lihat bagai teroris politis malaysia tuai hujat
43,43,2021-12-01,Alasan Grealish Tidak Mau Main di Manchester United,alas grealish tidak mau main di manchester united
44,44,2021-12-01,"Kata Luhut, Turis di Bali Paling Irit Dibanding Thailand dan Malaysia",kata luhut turis di bal paling irit banding thailand dan malaysia
45,45,2021-12-01,"Hamil Jalani Pemeriksaan Polisi, Lesti Kejora: Enggak Kepikiran",hamil jalan periksa polisi lesti kejora enggak pikir
46,46,2021-12-01,10 Tips Mendekorasi Ruangan agar Lebih Nyaman dan Tertata,tips dekorasi ruang agar lebih nyaman dan tata
47,47,2021-12-01,"Cerita Kunto Aji Lalui Cobaan Berat, Tiba-tiba Sakit Ketika Ingin Wujudkan Mimpinya",cerita kunto aji lalu coba berat tibatiba sakit ketika ingin wujud mimpi
48,48,2021-12-01,"Besi Penutup Gorong-gorong di Margonda Dicuri, 2 Minggu Belum Diperbaiki",besi tutup goronggorong di margonda curi minggu belum baik
49,49,2021-12-01,8 Manfaat Perdagangan Internasional,manfaat dagang internasional
50,50,2021-12-01,Mengungkap Desain Jembatan Kretek 2 di Lokasi Rawan Gempa dan Likuifaksi,ungkap desain jembatan kretek di lokasi rawan gempa dan likuifaksi
51,51,2021-12-01,"2,5 Juta Warga Jakarta Belum Divaksin Covid-19 Dosis Kedua",juta warga jakarta belum vaksin covid dosis dua
52,52,2021-12-01,"Kecewa dengan Putusan Ganjar soal UMK, Buruh di Jateng Berencana Menggugat",kecewa dengan putus ganjar soal umk buruh di jateng rencana gugat
53,53,2021-12-01,BEM UI Pecat Seorang Pengurusnya Terkait Kekerasan Seksual,bem ui pecat orang urus kait keras seksual
54,54,2021-12-01,"Kunjungi Kapolri, Jenderal Dudung: Sowan sebagai Pejabat Baru KSAD",kunjung kapolri jenderal dudung sowan bagai jabat baru ksad
55,55,2021-12-01,"Hasil BWF World Tour Finals 2021: Marcus/Kevin Revans, Praveen/Melati Tumbang",hasil bwf world tour finals marcuskevin revans praveenmelati tumbang
56,56,2021-12-01,"Presiden PSG Buka Suara, Mbappe Batal Hijrah ke Real Madrid?",presiden psg buka suara mbappe batal hijrah ke real madrid
57,57,2021-12-01,"Setelah Tidak Lagi Syuting, Putri Patricia Sempat Kerja Kantoran",telah tidak lagi syuting putri patricia sempat kerja kantor
